  Title : TRcurve_10mm_SDS_750nm_30secInt_20mlIL_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-03-31
  Time : 11:59:37
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
9.918765 6693
9.924873 6495
9.930980 6756
9.937088 6791
9.943196 6443
9.949303 6033
9.955411 6424
9.961518 6370
9.967626 5941
9.973734 5871
9.979841 6138
9.985949 6123
9.992056 5607
9.998164 5393
10.004272 5737
10.010379 5436
10.016487 5329
10.022595 5121
10.028702 5473
10.034810 5566
10.040917 5158
10.047025 4774
10.053133 5123
10.059240 4914
10.065348 4810
10.071455 4660
10.077563 4840
10.083671 4851
10.089778 4516
10.095886 4405
10.101994 4527
10.108101 4559
10.114209 4184
10.120316 4140
10.126424 4277
10.132532 4300
10.138639 4106
10.144747 3794
10.150854 4157
10.156962 3942
10.163070 3768
10.169177 3689
10.175285 3933
10.181393 3809
10.187500 3564
10.193608 3439
10.199715 3595
10.205823 3450
10.211931 3386
10.218038 3285
10.224146 3464
10.230253 3500
10.236361 3221
10.242469 3143
10.248576 3187
10.254684 3280
10.260791 2918
10.266899 3042
10.273007 3086
10.279114 3068
10.285222 2975
10.291330 2759
10.297437 3108
10.303545 2848
10.309652 2696
10.315760 2659
10.321868 2717
10.327975 2735
10.334083 2582
10.340190 2533
10.346298 2717
10.352406 2609
10.358513 2388
10.364621 2380
10.370729 2445
10.376836 2481
10.382944 2324
10.389051 2227
10.395159 2422
10.401267 2291
10.407374 2328
10.413482 2144
10.419589 2340
10.425697 2301
10.431805 2044
10.437912 2019
10.444020 2136
10.450128 2006
10.456235 2064
10.462343 1942
10.468450 2045
10.474558 2008
10.480666 1885
10.486773 1836
10.492881 1791
10.498988 1875
10.505096 1847
10.511204 1780
10.517311 1842
10.523419 1798
10.529527 1770
10.535634 1674
10.541742 1739
10.547849 1674
10.553957 1587
10.560065 1563
10.566172 1679
10.572280 1629
10.578387 1507
10.584495 1433
10.590603 1554
10.596710 1457
10.602818 1445
10.608925 1522
10.615033 1503
10.621141 1540
10.627248 1487
10.633356 1332
10.639464 1472
10.645571 1475
10.651679 1335
10.657786 1287
10.663894 1379
10.670002 1342
10.676109 1273
10.682217 1168
10.688324 1262
10.694432 1277
10.700540 1125
10.706647 1201
10.712755 1217
10.718863 1185
10.724970 1191
10.731078 1141
10.737185 1197
10.743293 1201
10.749401 1090
10.755508 1141
10.761616 1129
10.767723 1079
10.773831 1076
10.779939 1003
10.786046 1075
10.792154 1079
10.798262 957
10.804369 981
10.810477 1024
10.816584 1061
10.822692 960
10.828800 949
10.834907 1011
10.841015 979
10.847122 902
10.853230 879
10.859338 986
10.865445 910
10.871553 856
10.877660 822
10.883768 923
10.889876 880
10.895983 827
10.902091 822
10.908199 850
10.914306 875
10.920414 823
10.926521 727
10.932629 815
10.938737 779
10.944844 776
10.950952 802
10.957059 763
10.963167 769
10.969275 744
10.975382 712
10.981490 763
10.987598 768
10.993705 681
10.999813 646
11.005920 705
11.012028 748
11.018136 691
11.024243 637
11.030351 744
11.036458 631
11.042566 657
11.048674 604
11.054781 639
11.060889 637
11.066997 573
11.073104 530
11.079212 661
11.085319 600
11.091427 573
11.097535 600
11.103642 609
11.109750 572
11.115857 568
11.121965 534
11.128073 542
11.134180 521
11.140288 528
11.146396 546
11.152503 593
11.158611 510
