  Title : TRcurve_10mm_SDS_750nm_10secInt_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-10-11
  Time : 09:24:17
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
10.743293 152
10.749401 133
10.755508 152
10.761616 161
10.767723 162
10.773831 128
10.779939 136
10.786046 145
10.792154 141
10.798262 135
10.804369 114
10.810477 118
10.816584 151
10.822692 128
10.828800 129
10.834907 117
10.841015 117
10.847122 134
10.853230 112
10.859338 117
10.865445 130
10.871553 109
10.877660 108
10.883768 99
10.889876 86
10.895983 101
10.902091 101
10.908199 115
10.914306 122
10.920414 107
10.926521 85
10.932629 96
10.938737 107
10.944844 91
10.950952 77
10.957059 75
10.963167 88
10.969275 77
10.975382 85
10.981490 98
10.987598 90
10.993705 75
10.999813 88
11.005920 77
11.012028 91
11.018136 90
11.024243 73
11.030351 77
11.036458 73
11.042566 94
11.048674 95
11.054781 85
11.060889 76
11.066997 79
11.073104 75
11.079212 74
11.085319 70
11.091427 63
11.097535 63
11.103642 81
11.109750 63
11.115857 63
11.121965 70
11.128073 74
11.134180 71
11.140288 58
11.146396 63
11.152503 69
11.158611 81
11.164718 65
11.170826 44
11.176934 62
11.183041 63
11.189149 47
11.195256 54
11.201364 47
11.207472 55
11.213579 57
11.219687 44
11.225794 62
11.231902 51
11.238010 37
11.244117 45
11.250225 52
11.256333 38
11.262440 44
11.268548 43
11.274655 46
11.280763 48
11.286871 46
11.292978 37
11.299086 35
11.305193 48
11.311301 41
11.317409 40
11.323516 47
11.329624 30
11.335732 46
